,,メーカ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,エコギア,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,デュエル,デュエル,デュエル,デュエル,デュエル,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,バレーヒル,バレーヒル,バレーヒル,バレーヒル,バレーヒル,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,釣研,釣研,釣研,釣研,釣研,釣研,ジャッカル,ジャッカル,ジャッカル,ジャッカル,ジャッカル
スクイッドマニア,ワイルドチェイス B-TR 3.0号,25g,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK,OK*5,OK,OK*5,OK*1,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*2,OK*2,OK*2,OK,OK,OK,OK,OK,OK
スクイッドマニア,ワイルドチェイス B-TR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*1,OK*5,OK*1,OK*5,OK,NG,NG,NG,NG,OK*2,OK*2,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK
OGK,烏賊墨TR,35g,NG,NG,NG,NG,NG,NG,NG,NG,OK*2,OK*6,？,OK,？,OK*3,NG,NG,NG,NG,NG,NG,？,？,？,？,OK*3,OK,？,？,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG
OGK,烏賊墨TR,45g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*6,？,OK,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK*2,OK,OK*2,OK*2,OK*2,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,0,NG,OK*2,NG,NG,NG,NG,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
釣研,エギスタTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*5,OK,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,NG,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 2.5号,18g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*5,OK,OK*5,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 3.0号,24g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK*1,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ウロコ,ウロコロUTR 3.5号,30g,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
アクアウェーブ,アオリクスTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK,NG,？,？,？,？,OK*1,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*3,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
アクアウェーブ,アオリクスTR 3.5号,50g,OK,OK,OK,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK,NG,NG,NG,NG,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,？,？,OK,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,NG,NG,NG,OK,NG,NG,NG,NG,NG
