,,メーカ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,エコギア,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,デュエル,デュエル,デュエル,デュエル,デュエル,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,バレーヒル,バレーヒル,バレーヒル,バレーヒル,バレーヒル,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,釣研,釣研,釣研,釣研,釣研,釣研,ジャッカル,ジャッカル,ジャッカル,ジャッカル,ジャッカル
エコギア,ダートマックスTRZ 3.5号,40g,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,NG,NG,NG,NG,NG,OK*1,OK,OK,OK*1,OK,OK*1,OK*1,？,？,OK,？,？,？,？,？,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
クレイジーオーシャン,ティップランナーチビ 2.5号,14g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*1,OK*1,OK*1,NG,NG,？,？,OK*3,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
クレイジーオーシャン,ティップランナー 3.0号,25g,OK,OK*1,OK*1,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,OK*3,OK*1,OK*1,OK*1,OK*1,NG,NG,？,？,OK*3,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
クレイジーオーシャン,ティップランナー 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,OK*3,OK*1,OK*3,OK*1,OK*1,NG,NG,？,？,OK*3,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
メジャークラフト,ベイトフェザーTR 2.5号,20g,OK,OK,OK*2,OK*2,NG,NG,NG,NG,NG,OK*1,OK*5,OK*1,？,NG,OK,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK*1,OK*1,OK*1,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK*3,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,OK,OK*3,OK*3,NG,NG,NG,OK,NG,NG,NG,NG
メジャークラフト,ベイトフェザーTR 3.0号,25g,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,？,？,？,？,？,？
メジャークラフト,ベイトフェザーTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,NG,？,？,OK*3,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
メジャークラフト,ベイトフェザーTR 3.5号,40g,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？,？
メジャークラフト,エギゾー TR スマートフィット 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,OK*3,NG,？,？,OK*1,？,？,？,？,？,？,OK*1,OK*1,OK*1,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
デュエル,イージーQフィンプラスTR 3.0,25g,OK*2,OK*2,NG,OK*2,NG,OK*2,NG,NG,OK,OK*1,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,？,OK,？,？,OK*2,OK*2,OK*2,NG,NG,OK*1,OK*1,OK*1,OK*1,OK*1,OK,OK*1,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,NG,NG,　,NG
デュエル,イージーQフィンプラスTR 3.5,30g,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*1,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,NG,NG,OK*2,NG,NG,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,？,NG,NG,NG,NG,NG
デュエル,イージーQフィンプラスTR 3.5,40g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,？,NG,？,OK*1,NG,NG,NG,NG,NG,NG,？,？,？,？,？,NG,？,？,NG,NG,NG,NG,NG,OK*1,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK*3,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
デュエル,Ebi Q TR 3.0号,23g,OK,OK,OK,OK,OK,OK,OK*2,OK*2,NG,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*1,OK*3,NG,OK*1,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
デュエル,Ebi Q TR 3.5号,28g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*3,NG,OK*1,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,OK
ダイワ,エメラルダス ボートⅡ 2.75,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*1,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK*2,OK*2,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,OK,OK,OK,NG,OK,OK,OK,NG,NG,NG,NG,NG,OK*3,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.0,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,OK*2,OK*2,OK*2,OK*2,OK*2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.0,35g,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,？,OK*3,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,NG,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,？,？,NG,？,？,？,？,？,？,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK,NG,NG,NG,OK*3,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.25,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*5,OK*2,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.5,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,OK,OK*2,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.5,50g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,？,NG,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,OK*2,OK*2,NG,NG,OK,OK,OK,OK,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートジョイント 3.0,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*2,？,NG,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,NG,NG,NG,OK*2,NG,OK*2,OK*2,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートジョイント 3.5,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*1,？,NG,？,OK*2,NG,NG,NG,NG,NG,NG,？,？,？,？,？,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*3,NG,NG,NG,NG,OK*3,NG,NG,NG,NG,NG
バレーヒル,スクイッドシーカー 3.0号,23g,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK*1,OK*5,OK*3,OK*5,OK*1,OK,OK,NG,NG,NG,NG,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,NG,OK,OK,NG,NG,NG,NG
バレーヒル,スクイッドシーカー 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,OK*2,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*2,OK*2,OK*2,OK*2
バレーヒル,スクイッドシーカーL 3.5号,23g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK*3,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
シマノ,セフィア アントラージュ シーグル 3.5号　S0,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG*4,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,OK*2,？,？,NG,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG*4,NG*4,NG,NG*4,NG*4,NG*4,NG*4,NG*4,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
シマノ,セフィア アントラージュ シーグル 3.5号　S1,28g,OK,OK,OK,OK*1,OK*1,OK*1,OK,OK*1,OK,NG,NG*4,NG,？,OK*3,OK,OK*1,OK*3,NG,OK*3,OK*3,？,？,？,？,？,NG,？,？,OK,OK,OK,OK,OK,NG,OK*3,OK*3,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*3,OK,OK,OK,OK*3,OK,OK,OK,OK*1,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
シマノ,セフィア アントラージュ シーグル 3.5号　S2,35g,OK*3,OK*3,OK*3,OK*1,OK*1,OK*3,OK*3,OK*3,OK,NG,NG*4,NG,？,OK*3,NG,NG,NG,NG,OK,OK,？,？,？,？,？,NG,？,？,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,OK*3,OK*1,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*1,OK,OK,OK*3,OK*3,OK,OK,OK,OK*3,OK,OK*3,OK*1,OK,OK*1,OK*3,OK*1,NG,OK*1,OK*1,OK*1,OK,OK
